Categoría: Todas las categorías

País,San Rafael: (1/1/04 - 15/11/22)
Argentina,100
Costa Rica,8
Paraguay,5
Ecuador,4
Chile,3
Nicaragua,
Colombia,2
Guatemala,2
Uruguay,2
España,2
México,2
El Salvador,
Cuba,
Bolivia,1
República Dominicana,1
Venezuela,1
Honduras,
Panamá,
Perú,1
Puerto Rico,
Santa Elena,
Estados Unidos,< 1
Reino Unido,< 1
Alemania,< 1
Brasil,< 1
Canadá,
Japón,< 1
Portugal,
Italia,
Corea del Sur,
India,< 1
Malasia,
Francia,
Vietnam,
Grecia,
Ucrania,
Rusia,
Eslovenia,
Países Bajos,
Filipinas,
Suecia,
Taiwán,
Tailandia,
Indonesia,
Polonia,
Rumanía,
Turquía,
Islas Pitcairn,
Isla de Navidad,
Andorra,
Samoa Americana,
Seychelles,
San Vicente y las Granadinas,
San Bartolomé,
Timor-Leste,
Gambia,
Benín,
Guyana,
Islas Caimán,
Guayana Francesa,
Aruba,
Curazao,
Ruanda,
Gabón,
Tayikistán,
Jersey,
Burkina Faso,
Guadalupe,
Montenegro,
Macedonia del Norte,
Luxemburgo,
Letonia,
Haití,
Palestina,
Israel,
Ghana,
Mozambique,
Chipre,
Nepal,
Baréin,
Suiza,
Estonia,
Tanzania,
Moldavia,
Bielorrusia,
Chequia,
Nueva Zelanda,
Nigeria,
Túnez,
Hong Kong,
Siria,
Marruecos,
Bangladés,
Sudáfrica,
Singapur,
Egipto,
Noruega,
Bélgica,
Australia,
Dinamarca,
Emiratos Árabes Unidos,
Kazajistán,
Kenia,
Argelia,
Lituania,
Irlanda,
Serbia,
Austria,
Pakistán,
Eslovaquia,
Hungría,
Finlandia,
Bulgaria,
China,
Arabia Saudí,
Irán,
Afganistán,
Angola,
Anguila,
Islas Åland,
Albania,
Armenia,
Antártida,
Territorios Australes Franceses,
Antigua y Barbuda,
Azerbaiyán,
Burundi,
Caribe neerlandés,
Bahamas,
Bosnia-Herzegovina,
Belice,
Bermudas,
Barbados,
Brunéi,
Bután,
Isla Bouvet,
Botsuana,
República Centroafricana,
Islas Cocos,
Costa de Marfil,
Camerún,
República Democrática del Congo,
República del Congo,
Islas Cook,
Comoras,
Cabo Verde,
Yibuti,
Dominica,
Eritrea,
Sáhara Occidental,
Etiopía,
Fiyi,
Islas Malvinas (Islas Falkland),
Islas Feroe,
Micronesia,
Georgia,
Guernesey,
Gibraltar,
Guinea,
Guinea-Bisáu,
Guinea Ecuatorial,
Granada,
Groenlandia,
Guam,
Islas Heard y McDonald,
Croacia,
Isla de Man,
Territorio Británico del Océano Índico,
Irak,
Islandia,
Jamaica,
Jordania,
Kirguistán,
Camboya,
Kiribati,
San Cristóbal y Nieves,
Kuwait,
Laos,
Líbano,
Liberia,
Libia,
Santa Lucía,
Liechtenstein,
Sri Lanka,
Lesoto,
Macao,
San Martín,
Mónaco,
Madagascar,
Maldivas,
Islas Marshall,
Mali,
Malta,
Myanmar (Birmania),
Mongolia,
Islas Marianas del Norte,
Mauritania,
Montserrat,
Martinica,
Mauricio,
Malaui,
Mayotte,
Namibia,
Nueva Caledonia,
Níger,
Isla Norfolk,
Niue,
Nauru,
Omán,
Palaos,
Papúa Nueva Guinea,
Corea del Norte,
Polinesia Francesa,
Catar,
Reunión,
Sudán,
Senegal,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
Islas Salomón,
Sierra Leona,
San Marino,
Somalia,
San Pedro y Miquelón,
Sudán del Sur,
Santo Tomé y Príncipe,
Surinam,
Esuatini,
Sint Maarten,
Islas Turcas y Caicos,
Chad,
Togo,
Tokelau,
Turkmenistán,
Tonga,
Trinidad y Tobago,
Tuvalu,
Uganda,
Islas Ultramarinas de EE.UU.,
Uzbekistán,
Ciudad del Vaticano,
Islas Vírgenes Británicas,
Islas Vírgenes de EE. UU.,
Vanuatu,
Wallis y Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabue,
