Categoría: Destinos de turismo

Mes,San Rafael: (Argentina)
2004-01,0
2004-02,57
2004-03,53
2004-04,0
2004-05,0
2004-06,54
2004-07,0
2004-08,0
2004-09,0
2004-10,18
2004-11,38
2004-12,100
2005-01,0
2005-02,34
2005-03,28
2005-04,0
2005-05,11
2005-06,50
2005-07,14
2005-08,23
2005-09,17
2005-10,10
2005-11,42
2005-12,40
2006-01,49
2006-02,37
2006-03,15
2006-04,0
2006-05,20
2006-06,27
2006-07,9
2006-08,0
2006-09,0
2006-10,25
2006-11,27
2006-12,11
2007-01,43
2007-02,26
2007-03,11
2007-04,11
2007-05,16
2007-06,18
2007-07,15
2007-08,16
2007-09,7
2007-10,21
2007-11,24
2007-12,17
2008-01,30
2008-02,36
2008-03,22
2008-04,11
2008-05,7
2008-06,15
2008-07,11
2008-08,15
2008-09,11
2008-10,9
2008-11,22
2008-12,8
2009-01,23
2009-02,10
2009-03,9
2009-04,15
2009-05,0
2009-06,12
2009-07,13
2009-08,7
2009-09,13
2009-10,10
2009-11,19
2009-12,21
2010-01,32
2010-02,25
2010-03,21
2010-04,9
2010-05,19
2010-06,4
2010-07,15
2010-08,12
2010-09,13
2010-10,12
2010-11,10
2010-12,20
2011-01,29
2011-02,19
2011-03,12
2011-04,10
2011-05,9
2011-06,16
2011-07,24
2011-08,15
2011-09,13
2011-10,15
2011-11,21
2011-12,23
2012-01,35
2012-02,26
2012-03,13
2012-04,15
2012-05,13
2012-06,12
2012-07,16
2012-08,11
2012-09,10
2012-10,18
2012-11,22
2012-12,18
2013-01,28
2013-02,20
2013-03,18
2013-04,13
2013-05,15
2013-06,13
2013-07,18
2013-08,12
2013-09,14
2013-10,15
2013-11,17
2013-12,18
2014-01,33
2014-02,26
2014-03,19
2014-04,12
2014-05,13
2014-06,12
2014-07,17
2014-08,18
2014-09,12
2014-10,13
2014-11,21
2014-12,18
2015-01,30
2015-02,26
2015-03,19
2015-04,12
2015-05,12
2015-06,17
2015-07,17
2015-08,16
2015-09,16
2015-10,17
2015-11,17
2015-12,25
2016-01,35
2016-02,23
2016-03,19
2016-04,16
2016-05,16
2016-06,17
2016-07,24
2016-08,14
2016-09,14
2016-10,22
2016-11,20
2016-12,41
2017-01,57
2017-02,54
2017-03,35
2017-04,35
2017-05,27
2017-06,36
2017-07,45
2017-08,35
2017-09,31
2017-10,38
2017-11,36
2017-12,47
2018-01,64
2018-02,53
2018-03,41
2018-04,37
2018-05,27
2018-06,31
2018-07,42
2018-08,33
2018-09,35
2018-10,37
2018-11,46
2018-12,47
2019-01,64
2019-02,28
2019-03,24
2019-04,35
2019-05,37
2019-06,38
2019-07,50
2019-08,34
2019-09,37
2019-10,34
2019-11,43
2019-12,48
2020-01,67
2020-02,61
2020-03,31
2020-04,17
2020-05,21
2020-06,20
2020-07,26
2020-08,22
2020-09,21
2020-10,23
2020-11,31
2020-12,38
2021-01,69
2021-02,61
2021-03,42
2021-04,28
2021-05,18
2021-06,26
2021-07,47
2021-08,42
2021-09,41
2021-10,46
2021-11,45
2021-12,49
2022-01,88
2022-02,71
2022-03,50
2022-04,36
2022-05,36
2022-06,46
2022-07,60
2022-08,44
2022-09,43
2022-10,42
2022-11,44
