Categoría: Todas las categorías

Mes,San Rafael: (Argentina)
2004-01,27
2004-02,15
2004-03,11
2004-04,9
2004-05,8
2004-06,18
2004-07,13
2004-08,9
2004-09,11
2004-10,27
2004-11,20
2004-12,28
2005-01,33
2005-02,17
2005-03,18
2005-04,8
2005-05,4
2005-06,11
2005-07,13
2005-08,12
2005-09,14
2005-10,15
2005-11,22
2005-12,17
2006-01,30
2006-02,16
2006-03,13
2006-04,12
2006-05,13
2006-06,16
2006-07,14
2006-08,9
2006-09,10
2006-10,14
2006-11,15
2006-12,23
2007-01,34
2007-02,19
2007-03,16
2007-04,12
2007-05,11
2007-06,13
2007-07,15
2007-08,13
2007-09,15
2007-10,16
2007-11,16
2007-12,16
2008-01,27
2008-02,16
2008-03,17
2008-04,9
2008-05,11
2008-06,10
2008-07,9
2008-08,8
2008-09,11
2008-10,11
2008-11,12
2008-12,17
2009-01,23
2009-02,13
2009-03,10
2009-04,10
2009-05,9
2009-06,11
2009-07,11
2009-08,10
2009-09,12
2009-10,15
2009-11,19
2009-12,25
2010-01,31
2010-02,23
2010-03,15
2010-04,11
2010-05,13
2010-06,13
2010-07,14
2010-08,10
2010-09,13
2010-10,13
2010-11,16
2010-12,17
2011-01,29
2011-02,21
2011-03,18
2011-04,13
2011-05,12
2011-06,16
2011-07,19
2011-08,17
2011-09,15
2011-10,17
2011-11,20
2011-12,21
2012-01,32
2012-02,20
2012-03,16
2012-04,16
2012-05,14
2012-06,18
2012-07,20
2012-08,17
2012-09,19
2012-10,20
2012-11,23
2012-12,22
2013-01,34
2013-02,25
2013-03,23
2013-04,16
2013-05,18
2013-06,18
2013-07,21
2013-08,19
2013-09,21
2013-10,22
2013-11,22
2013-12,27
2014-01,37
2014-02,30
2014-03,21
2014-04,18
2014-05,17
2014-06,16
2014-07,22
2014-08,20
2014-09,17
2014-10,20
2014-11,23
2014-12,27
2015-01,38
2015-02,28
2015-03,24
2015-04,19
2015-05,16
2015-06,20
2015-07,23
2015-08,20
2015-09,20
2015-10,26
2015-11,23
2015-12,28
2016-01,41
2016-02,28
2016-03,22
2016-04,22
2016-05,21
2016-06,22
2016-07,24
2016-08,19
2016-09,19
2016-10,28
2016-11,26
2016-12,49
2017-01,63
2017-02,62
2017-03,43
2017-04,43
2017-05,38
2017-06,49
2017-07,50
2017-08,41
2017-09,44
2017-10,45
2017-11,49
2017-12,57
2018-01,71
2018-02,65
2018-03,49
2018-04,42
2018-05,37
2018-06,39
2018-07,45
2018-08,42
2018-09,43
2018-10,48
2018-11,51
2018-12,60
2019-01,77
2019-02,34
2019-03,30
2019-04,46
2019-05,40
2019-06,42
2019-07,50
2019-08,42
2019-09,45
2019-10,41
2019-11,53
2019-12,56
2020-01,83
2020-02,70
2020-03,35
2020-04,24
2020-05,29
2020-06,31
2020-07,35
2020-08,35
2020-09,33
2020-10,34
2020-11,41
2020-12,49
2021-01,82
2021-02,75
2021-03,51
2021-04,35
2021-05,30
2021-06,33
2021-07,44
2021-08,42
2021-09,42
2021-10,56
2021-11,51
2021-12,63
2022-01,100
2022-02,87
2022-03,57
2022-04,43
2022-05,42
2022-06,50
2022-07,59
2022-08,48
2022-09,45
2022-10,51
2022-11,58
